Date,Close/Last,Volume,Open,High,Low
05/26/2021,$8.57,5031006,$8.33,$8.64,$8.32
05/25/2021,$8.37,4045107,$8.28,$8.4292,$8.1326
05/24/2021,$8.24,4460248,$8.2,$8.39,$8.13
05/21/2021,$8.07,4472814,$8.37,$8.44,$8.01
05/20/2021,$8.32,4412916,$8.32,$8.57,$8.12
05/19/2021,$8.36,6755952,$8.14,$8.66,$7.99
05/18/2021,$8.42,7328167,$8.3,$8.58,$8.13
05/17/2021,$8.12,16859180,$8.08,$8.68,$7.8515
05/14/2021,$7.51,4006196,$7.46,$7.57,$7.2545
05/13/2021,$7.42,8753911,$7.35,$7.8,$7.03
05/12/2021,$7.38,10522370,$6.74,$7.61,$6.7
05/11/2021,$6.79,8472136,$6.36,$6.865,$6.25
05/10/2021,$6.72,9726440,$7.03,$7.08,$6.6
05/07/2021,$6.96,6524454,$7.27,$7.3,$6.94
05/06/2021,$7.19,10785660,$7.48,$7.48,$7.02
05/05/2021,$7.8,1570913,$7.86,$7.97,$7.71
05/04/2021,$7.87,3033290,$7.79,$7.92,$7.55
05/03/2021,$7.9,4296101,$8.21,$8.227,$7.75
04/30/2021,$8.16,2097873,$8.23,$8.25,$8.05
04/29/2021,$8.3,3632565,$8.39,$8.41,$7.96
04/28/2021,$8.21,3311172,$8.22,$8.4408,$8.2
04/27/2021,$8.29,2926374,$8.19,$8.34,$7.89
04/26/2021,$8.16,2767546,$7.88,$8.17,$7.85
04/23/2021,$7.85,3026246,$7.75,$7.92,$7.67
04/22/2021,$7.64,6008672,$7.48,$7.885,$7.4
04/21/2021,$7.44,6660462,$7.3,$7.6,$7.2301
04/20/2021,$7.23,5199329,$7.5,$7.55,$7.18
04/19/2021,$7.5,3714908,$7.41,$7.64,$7.36
04/16/2021,$7.49,5410651,$7.5,$7.51,$7.305
04/15/2021,$7.58,6572218,$7.54,$7.8499,$7.36
04/14/2021,$7.59,3530211,$7.58,$7.685,$7.49
04/13/2021,$7.69,2941618,$7.51,$7.78,$7.47
04/12/2021,$7.51,3447421,$7.71,$7.7728,$7.5
04/09/2021,$7.71,2549929,$7.82,$7.86,$7.71
04/08/2021,$7.82,2852702,$7.76,$7.9276,$7.72
04/07/2021,$7.75,3555971,$7.96,$8.03,$7.72
04/06/2021,$7.94,5334943,$7.7,$7.95,$7.56
04/05/2021,$7.75,3365240,$7.85,$7.9,$7.65
04/01/2021,$7.75,4448053,$8,$8.07,$7.72
03/31/2021,$7.93,3785330,$7.83,$8.02,$7.75
